dgemm2_wsl,1,0.000001
dgemm2_wsl,2,0.000001
dgemm2_wsl,4,0.000001
dgemm2_wsl,8,0.000001
dgemm2_wsl,16,0.000002
dgemm2_wsl,32,0.000018
dgemm2_wsl,64,0.000125
dgemm2_wsl,128,0.001502
dgemm2_wsl,256,0.040905
dgemm2_wsl,512,0.850069
dgemm2_wsl,1024,11.011651
dgemm2_wsl,2048,529.446427
dgemm2_wsl,1,0.000001
dgemm2_wsl,2,0.000001
dgemm2_wsl,4,0.000001
dgemm2_wsl,8,0.000000
dgemm2_wsl,16,0.000002
dgemm2_wsl,32,0.000011
dgemm2_wsl,64,0.000093
dgemm2_wsl,128,0.001314
dgemm2_wsl,256,0.040492
dgemm2_wsl,512,0.833247
dgemm2_wsl,1024,12.841173
dgemm2_wsl,2048,530.992328
dgemm2_wsl,1,0.000001
dgemm2_wsl,2,0.000001
dgemm2_wsl,4,0.000001
dgemm2_wsl,8,0.000001
dgemm2_wsl,16,0.000002
dgemm2_wsl,32,0.000010
dgemm2_wsl,64,0.000094
dgemm2_wsl,128,0.001363
dgemm2_wsl,256,0.040778
dgemm2_wsl,512,0.835952
dgemm2_wsl,1024,10.627381
dgemm2_wsl,2048,523.813041
dgemm2_wsl,1,0.000001
dgemm2_wsl,2,0.000001
dgemm2_wsl,4,0.000000
dgemm2_wsl,8,0.000001
dgemm2_wsl,16,0.000002
dgemm2_wsl,32,0.000014
dgemm2_wsl,64,0.000091
dgemm2_wsl,128,0.001315
dgemm2_wsl,256,0.039313
dgemm2_wsl,512,0.898216
dgemm2_wsl,1024,12.038067
dgemm2_wsl,2048,530.040642
dgemm2_wsl,1,0.000000
dgemm2_wsl,2,0.000001
dgemm2_wsl,4,0.000001
dgemm2_wsl,8,0.000001
dgemm2_wsl,16,0.000002
dgemm2_wsl,32,0.000010
dgemm2_wsl,64,0.000092
dgemm2_wsl,128,0.001310
dgemm2_wsl,256,0.043318
dgemm2_wsl,512,0.963873
dgemm2_wsl,1024,12.598587
dgemm2_wsl,2048,544.164223
