label,size,time
O3,1024,10.414000
O3,32,0.000000
O3,64,0.000000
O3,128,0.001000
O3,256,0.037000
O3,512,0.838000
O3,1024,10.175000
O3,32,0.000000
O3,64,0.000000
O3,128,0.002000
O3,256,0.037000
O3,512,0.839000
O3,1024,10.252000
O3,2048,124.744101338
O3,4096,1517.85903421
O3,8192,18468.9778756
Ofast,32,0.000000
Ofast,64,0.000000
Ofast,128,0.002000
Ofast,256,0.039000
Ofast,512,0.843000
Ofast,1024,12.975000
Ofast,32,0.000000
Ofast,64,0.002000
Ofast,128,0.001000
Ofast,256,0.057000
Ofast,512,0.877000
Ofast,1024,10.610000
Ofast,32,0.000000
Ofast,64,0.000000
Ofast,128,0.001000
Ofast,256,0.039000
Ofast,512,0.849000
Ofast,1024,10.636000
Ofast,32,0.000000
Ofast,64,0.000000
Ofast,128,0.002000
Ofast,256,0.037000
Ofast,512,0.854000
Ofast,1024,10.534000
Ofast,32,0.000000
Ofast,64,0.000000
Ofast,128,0.001000
Ofast,256,0.039000
Ofast,512,0.856000
Ofast,1024,11.319000
Ofast,2048,148.329424165
Ofast,4096,1943.77754864
Ofast,8192,25472.1622488
2,32,0.000000
2,64,0.000000
2,128,0.000000
2,256,0.005000
2,512,0.184000
2,1024,1.607000
2,2048,21.494000
2,4096,665.649000
2,32,0.000000
2,64,0.000000
2,128,0.000000
2,256,0.006000
2,512,0.185000
2,1024,1.625000
2,2048,21.784000
2,4096,677.512000
2,32,0.000000
2,64,0.000000
2,128,0.001000
2,256,0.006000
2,512,0.182000
2,1024,1.599000
2,2048,21.857000
2,4096,671.803000
2,32,0.000000
2,64,0.000000
2,128,0.001000
2,256,0.000000
2,512,0.196000
2,1024,1.582000
2,2048,21.626000
2,4096,672.873000
2,32,0.000000
2,64,0.000000
2,128,0.000000
2,256,0.006000
2,512,0.196000
2,1024,1.634000
2,2048,20.445000
2,4096,668.519000
2,32,0.000000
2,64,0.000000
2,128,0.000000
2,256,0.005000
2,512,0.196000
2,1024,1.623000
2,2048,20.571000
2,4096,671.803000
2,8192,8877.03779943
3,32,0.000000
3,64,0.000000
3,128,0.001000
3,256,0.007000
3,512,0.233000
3,1024,1.651000
3,2048,22.511000
3,4096,672.941000
3,32,0.000000
