label,param,size,time
4,16,1024,0.707000
4,16,2048,8.665000
4,16,4096,75.373000
4,16,64,0.000000
4,16,128,0.001000
4,16,256,0.003000
4,16,512,0.024000
4,16,1024,0.677000
4,16,2048,8.590000
4,16,4096,75.331000
4,16,64,0.000000
4,16,128,0.001000
4,16,256,0.002000
4,16,512,0.024000
4,16,1024,0.678000
4,16,2048,8.544000
4,16,4096,75.624000
4,16,64,0.000000
4,16,128,0.000000
4,16,256,0.003000
4,16,512,0.024000
4,16,1024,0.671000
4,16,2048,8.580000
4,16,4096,77.215000
4,16,64,0.000000
4,16,128,0.001000
4,16,256,0.003000
4,16,512,0.027000
4,16,1024,0.677000
